,idx,time,x,y,z,picks,latitude,longitude,depth
0,0,2011-01-02 02:10:45.481987+00:00,19.52373473905917,523.2819925438422,49.609375,10,49.20681927991348,-125.2320682397529,49.609375
8,8,2011-01-03 22:30:53.445832+00:00,-78.65275994878122,277.25285560696716,12.890625,6,46.989815774397975,-126.53395012512298,12.890625
10,10,2011-01-05 05:25:45.145580+00:00,-97.61867369529584,461.77470830962346,4.296875,6,48.6464301140615,-126.82476581552552,4.296875
11,11,2011-01-05 09:29:58.041704+00:00,-92.04046376985035,551.8900317225485,24.609375,7,49.45739113241693,-126.76954962130573,24.609375
12,12,2011-01-05 14:35:15.536295+00:00,-290.6247371157093,559.0420415172251,5.078125,6,49.45913364432415,-129.5092966387368,5.078125
13,13,2011-01-05 22:30:19.072613+00:00,-297.3185890262439,503.2563651187477,13.671875,6,48.95556447002127,-129.56015106641277,13.671875
15,15,2011-01-07 17:48:56.472170+00:00,-176.8292546366216,514.6995807902302,12.109375,10,49.104550689275094,-127.92180655351905,12.109375
16,16,2011-01-09 05:25:15.839021+00:00,-94.27174774002854,498.9651592419417,27.734375,10,48.981287516809935,-126.78789436366002,27.734375
18,18,2011-01-10 06:23:59.525080+00:00,-94.27174774002854,490.38274748832976,18.359375,7,48.9041330328523,-126.7859102950372,18.359375
21,21,2011-01-12 09:32:28.999976+00:00,-93.15610575493945,498.9651592419417,24.609375,15,48.98145663307552,-126.772656970314,24.609375
22,22,2011-01-13 17:26:13.090807+00:00,-223.68621801036358,514.6995807902302,0.390625,8,49.08931489875382,-128.5626865975056,0.390625
25,25,2011-01-14 14:44:39.176230+00:00,-85.34661185931579,448.90109067920554,9.765625,6,48.53248056223255,-126.65561921813479,9.765625
33,33,2011-01-21 17:11:00.820974+00:00,-286.1621691753529,500.39556120087695,3.515625,6,48.93515691396432,-129.4061713499929,3.515625
37,37,2011-01-26 04:50:30.451034+00:00,-228.14878595071997,491.8131494472651,12.890625,17,48.882187708339224,-128.61086341590922,12.890625
38,38,2011-01-27 14:47:56.495105+00:00,-362.0258241614114,680.6262080267273,6.640625,6,50.509724979488496,-130.6049289371897,6.640625
40,40,2011-01-28 09:42:13.534594+00:00,-99.84995766547401,457.4835024328175,8.984375,7,48.60749960227179,-126.85400482472772,8.984375
46,46,2011-01-30 23:23:35.964873+00:00,-334.134774534184,486.0915416115238,12.890625,11,48.78293724722065,-130.04734474427053,12.890625
47,47,2011-02-02 15:45:50.169688+00:00,73.07455002333573,476.0787278989766,49.609375,12,48.77838831301952,-124.5057261133833,49.609375
50,50,2011-02-03 07:52:17.668049+00:00,-317.40014475784767,732.1206785483988,0.390625,8,50.997059050500454,-130.0222087662072,0.390625
52,52,2011-02-06 05:32:27.007300+00:00,-286.1621691753529,496.1043553240711,3.515625,6,48.89665943024916,-129.40316626194078,3.515625
54,54,2011-02-06 10:45:58.905298+00:00,-199.14209433840347,496.1043553240711,12.890625,7,48.93071963141763,-128.21794014629032,12.890625
55,55,2011-02-08 16:36:33.548068+00:00,199.14209433840347,454.62269851494676,37.109375,18,48.55811624813454,-122.80209270477977,37.109375
59,59,2011-02-11 07:05:54.301986+00:00,0.5578209925445475,543.3076199689366,36.328125,9,49.38719127079306,-125.4923168249482,36.328125
62,62,2011-02-14 12:51:55.714188+00:00,-127.74100729270137,487.52194357045914,12.890625,7,48.87242739399841,-127.24136135003369,12.890625
63,63,2011-02-14 18:35:33.405720+00:00,-321.86271269820395,149.94708126172372,1.171875,7,45.7742259181189,-129.63833034255148,1.171875
64,64,2011-02-15 14:47:38.250435+00:00,189.10131647260164,467.4963161453647,24.609375,15,48.67687352478021,-122.93211299866192,24.609375
66,66,2011-02-16 08:23:29.197567+00:00,-250.4616256525018,481.8003357347179,6.640625,6,48.78370699841972,-128.90845590308527,6.640625
67,67,2011-02-17 02:29:46.583574+00:00,-286.1621691753529,513.2691788312949,12.890625,9,49.05064698701248,-129.4152250086438,12.890625
68,68,2011-02-17 13:29:00.770137+00:00,-108.77509354618677,477.50912985791183,3.515625,9,48.786033687883766,-126.98026265203046,3.515625
70,70,2011-02-20 13:50:12.019755+00:00,-167.90411875590883,547.5988258457427,9.765625,8,49.40262708172079,-127.81345614456936,9.765625
72,72,2011-02-21 22:56:24.463855+00:00,-251.5772676375909,444.60988480239956,6.640625,8,48.44941144892669,-128.90108402455027,6.640625
73,73,2011-02-21 23:03:10.888532+00:00,-252.69290962268,478.9395318168472,12.890625,7,48.75712660046494,-128.93700872026372,12.890625
75,75,2011-02-21 23:57:22.030313+00:00,-256.03983557794726,470.35712006323536,41.015625,7,48.67872639601961,-128.97712503611467,41.015625
76,76,2011-02-22 20:57:53.103515+00:00,-177.9448966217107,374.5201888145689,49.609375,7,47.844731646752145,-127.87745194359422,49.609375
82,82,2011-03-01 17:07:05.321486+00:00,75.30583399351393,353.0641594305391,49.609375,14,47.67199688347036,-124.49721652727551,49.609375
94,94,2011-03-07 12:39:07.528308+00:00,-84.23096987422669,427.4450612951758,8.203125,6,48.33971733647839,-126.63620590809303,8.203125
95,95,2011-03-08 07:24:58.807680+00:00,-113.23766148654316,341.62094375905656,49.609375,6,47.56358483189784,-127.00478362370862,49.609375
102,102,2011-03-10 17:06:01.683250+00:00,-250.4616256525018,451.76189459707615,1.953125,12,48.51406014316237,-128.89031009909243,1.953125
103,103,2011-03-12 06:39:37.609218+00:00,-181.29182257697795,453.1922965560115,12.890625,7,48.55067572523171,-127.95569858765067,12.890625
104,104,2011-03-12 18:26:36.881369+00:00,-157.863340890107,486.0915416115238,12.890625,7,48.85264402152182,-127.65116301137574,12.890625
107,107,2011-03-16 21:30:54.465572+00:00,-185.75439051733434,526.1427964617127,12.890625,10,49.204715852476184,-128.04919207368803,12.890625
110,110,2011-03-20 04:20:36.159818+00:00,-232.6113538910763,567.6244532708371,1.171875,9,49.56114173290006,-128.71551677225125,1.171875
111,111,2011-03-20 23:20:18.324173+00:00,-256.03983557794726,345.91214963586253,8.203125,6,47.56156168047857,-128.90245323786036,8.203125
112,112,2011-10-27 13:12:09.837890+00:00,-232.6113538910763,481.8003357347179,49.609375,6,48.79063099516529,-128.66593922286066,49.609375
113,113,2011-11-29 00:29:34.229392+00:00,-29.56451260486102,481.8003357347179,34.765625,6,48.833424232806365,-125.9027017099186,34.765625
115,115,2011-12-19 09:08:04.655182+00:00,-77.53711796369213,564.7636493529666,37.109375,6,49.57514298098178,-126.57206654715732,37.109375
116,116,2012-01-02 04:53:26.770392+00:00,-324.09399666838215,498.9651592419417,24.609375,8,48.90366051320972,-129.92129524937977,24.609375
118,118,2012-02-04 14:46:24.875427+00:00,-214.7610821296508,476.0787278989766,3.515625,6,48.74566133532564,-128.42034946074398,3.515625
119,119,2012-02-04 20:05:25.260216+00:00,-223.68621801036358,498.9651592419417,1.171875,6,48.948032916040056,-128.55402232123353,1.171875
120,120,2012-02-04 20:08:52.464077+00:00,-214.7610821296508,493.2435514062005,2.734375,6,48.899811189088894,-128.42932703551008,2.734375
124,124,2012-02-04 23:14:58.018361+00:00,-216.99236609982898,470.35712006323536,49.609375,6,48.69350574938192,-128.44764254933685,49.609375
131,131,2012-02-16 17:10:58.584284+00:00,-196.91081036822527,483.23073769365317,1.953125,6,48.81579775244322,-128.1813310623961,1.953125
133,133,2012-02-20 04:40:12.908711+00:00,-16.176808783791877,514.6995807902302,6.640625,6,49.12974632866358,-125.72165624355875,6.640625
134,134,2012-02-21 16:11:21.840433+00:00,-142.24435309885965,564.7636493529666,28.515625,8,49.563401888542536,-127.4663118626946,28.515625
137,137,2012-03-03 15:52:13.857239+00:00,-238.1895638165218,481.8003357347179,49.609375,6,48.78852198536215,-128.74173556562027,49.609375
138,138,2012-03-31 08:45:40.460686+00:00,-277.2370332946402,497.53475728300634,3.515625,7,48.9135465504073,-129.28268187860075,3.515625
140,140,2012-04-22 10:42:16.926337+00:00,-143.35999508394872,571.9156591476429,44.140625,6,49.627404687489836,-127.48433096417783,44.140625
141,141,2012-04-28 15:16:02.038848+00:00,-190.21695845769074,517.560384708101,36.328125,7,49.12625762704692,-128.10631611336555,36.328125
146,146,2012-05-30 02:11:36.231287+00:00,-299.5498729964221,500.39556120087695,12.890625,6,48.92882997341175,-129.5884403213925,12.890625
147,147,2012-06-01 01:49:42.708165+00:00,-304.0124409367785,493.2435514062005,37.109375,8,48.862513506773354,-129.6438681391118,37.109375
148,148,2012-06-01 04:12:15.499223+00:00,-300.66551498151114,494.67395336513573,37.890625,7,48.87697201522203,-129.59942002019505,37.890625
149,149,2012-06-12 23:24:47.391452+00:00,-195.79516838313623,517.560384708101,25.390625,7,49.12450773099447,-128.18266107620056,25.390625
150,150,2012-06-27 04:22:31.087023+00:00,-285.0465271902638,571.9156591476429,49.609375,6,49.57724902468594,-129.44182094069564,49.609375
151,151,2012-07-03 03:32:55.933829+00:00,-29.56451260486102,483.23073769365317,6.640625,10,48.8462864742195,-125.90280483410244,6.640625
153,153,2012-07-09 13:56:04.317302+00:00,45.18350039610835,447.4706887202703,12.890625,8,48.52379242156479,-124.88830987365499,12.890625
154,154,2014-01-02 19:34:45.261401+00:00,-48.530426351375645,417.43224758262846,39.453125,6,48.25342542035116,-126.1535296178873,39.453125
155,155,2014-01-04 13:21:27.714737+00:00,-261.6180455033928,488.9523455293944,13.671875,7,48.843309542357375,-129.0645336909175,13.671875
158,158,2014-01-10 00:16:01.137886+00:00,-290.6247371157093,321.59531633396216,0.390625,7,47.328799564481,-129.34507711708721,0.390625
159,159,2014-01-12 15:18:31.261055+00:00,-249.34598366741278,488.9523455293944,12.109375,9,48.848354693152615,-128.89764226375289,12.109375
161,161,2014-01-14 19:17:52.307264+00:00,-199.14209433840347,516.1299827491656,30.859375,7,49.11058624239294,-128.22775935528858,30.859375
165,165,2014-02-09 14:33:19.080796+00:00,135.55050118832506,360.2161692252157,49.609375,8,47.72647778203703,-123.69308870751271,49.609375
169,169,2014-03-21 18:42:49.616094+00:00,-152.2851309646615,408.8498358290165,13.671875,6,48.15986820464203,-127.54704183984887,13.671875
170,170,2014-03-21 18:50:24.494111+00:00,71.95890803824663,413.1410417058226,49.609375,8,48.21261345454692,-124.53174085655141,49.609375
173,173,2014-04-01 05:05:54.053541+00:00,-318.5157867429367,527.573198420648,12.109375,8,49.16304793668196,-129.86787053920588,12.109375
174,174,2014-04-02 18:51:59.829638+00:00,-94.27174774002854,543.3076199689366,43.359375,7,49.379901538541,-126.79828130715909,43.359375
175,175,2014-04-02 20:01:45.843563+00:00,-100.9655996505631,483.23073769365317,37.109375,7,48.83878506382526,-126.87542707866108,37.109375
177,177,2014-04-05 02:48:43.590497+00:00,40.72093245575197,451.76189459707615,0.390625,6,48.562685449088555,-124.94830141079366,0.390625
180,180,2014-04-07 05:44:40.005477+00:00,7.251672903079118,450.3314926381409,33.203125,9,48.55110207799979,-125.40177491318516,33.203125
181,181,2014-04-16 11:58:09.755229+00:00,-199.14209433840347,524.7123945027776,15.234375,9,49.187669758009584,-128.23199756640412,15.234375
182,182,2014-04-19 15:07:58.013256+00:00,-124.39408133743412,580.4980709012549,44.921875,7,49.70873518134673,-127.22467271770925,44.921875
183,183,2014-04-24 03:23:35.631715+00:00,-158.9789828751961,563.3332473940312,6.640625,7,49.54639019357299,-127.69689608680376,6.640625
184,184,2014-04-24 03:40:57.537963+00:00,-181.29182257697795,576.206865024449,12.109375,7,49.65576528131712,-128.0108749741066,12.109375
185,185,2014-04-24 04:19:00.060377+00:00,122.16279736725592,308.72169870354423,49.609375,8,47.26617340929694,-123.88572737743307,49.609375
186,186,2014-04-24 05:16:19.850574+00:00,-87.57789582949398,616.258119874638,12.109375,6,50.03664384140815,-126.72246691019313,12.109375
187,187,2014-04-26 09:30:39.684733+00:00,-143.35999508394872,577.6372669833842,47.265625,6,49.67881672822335,-127.48642308519479,47.265625
192,192,2014-05-04 09:37:25.896488+00:00,-306.2437249069567,507.54757099555366,13.671875,6,48.98969876008584,-129.68492238256533,13.671875
199,199,2014-05-21 04:04:16.795543+00:00,-77.53711796369213,533.2948062563893,41.796875,10,49.29224522754997,-126.56591788895379,41.796875
201,201,2014-05-25 11:21:40.359990+00:00,232.6113538910763,414.57144366475785,49.609375,7,48.18696665136181,-122.37145312895514,49.609375
202,202,2014-05-27 08:51:10.491000+00:00,-285.0465271902638,507.54757099555366,11.328125,8,48.99983393170964,-129.3959826927618,11.328125
203,203,2014-05-27 22:09:54.035500+00:00,-285.0465271902638,497.53475728300634,7.421875,6,48.91000577576394,-129.38898306893228,7.421875
