,Unnamed: 0.1,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
3,3,37,9,2011-06-06 04:06:42.542511+00:00,50.76171032155383,374.5201888145689,16.015625,6,47.86734870290581,-124.82151523118308,16.015625,9,348924,-0.1311709880828857,FORK,P,1307333207.865,2011-06-06 04:06:42.542511+00:00
15,15,228,49,2011-11-20 10:35:26.432618+00:00,114.35330347163226,403.1282279932753,16.015625,6,48.11637920846924,-123.96415754622208,16.015625,49,388595,-1.1413352489471436,FORK,P,1321785334.24,2011-11-20 10:35:26.432618+00:00
17,17,247,52,2011-12-05 14:39:02.869818+00:00,111.00637751636496,375.95059077350425,37.890625,7,47.872628819345145,-124.0161168655359,37.890625,52,394856,0.4506886005401611,FORK,P,1323095952.265,2011-12-05 14:39:02.869818+00:00
49,49,486,99,2012-02-20 04:40:13.744430+00:00,-36.25836451539559,498.9651592419417,49.609375,6,48.987412763745056,-125.9953998163112,49.609375,99,82248,-0.057920217514038,J73A,P,1329712822.3852,2012-02-20 04:40:13.744430+00:00
88,88,914,192,2014-05-03 10:15:05.467782+00:00,-29.56451260486102,500.39556120087695,12.890625,6,49.00063110924498,-125.90404804361602,12.890625,192,209399,0.0329880714416503,BFSB,P,1399112116.0,2014-05-03 10:15:05.467782+00:00
90,90,929,194,2014-05-06 07:42:04.687438+00:00,-45.18350039610835,491.8131494472651,12.890625,6,48.922516952997874,-126.11654468646788,12.890625,194,177128,0.2481172084808349,BFSB,P,1399362137.1,2014-05-06 07:42:04.687438+00:00
106,106,1110,244,2015-01-02 20:07:37.145226+00:00,23.986302679415548,501.8259631598123,12.890625,6,49.01373485716504,-125.17210153452586,12.890625,244,300961,0.1061122417449951,BFSB,P,1420229262.49,2015-01-02 20:07:37.145226+00:00
108,108,1142,252,2015-01-25 20:57:40.571090+00:00,18.40809275397007,486.0915416115238,8.203125,6,48.87244210520904,-125.24906644728806,8.203125,252,284497,0.1254692077636718,BFSB,P,1422219464.06,2015-01-25 20:57:40.571090+00:00
110,110,1161,259,2015-02-14 18:10:14.345933+00:00,-11.7142408434355,467.4963161453647,12.890625,6,48.70539046306919,-125.6591557572414,12.890625,259,318261,0.3402605056762695,BFSB,P,1423937422.89,2015-02-14 18:10:14.345933+00:00
116,116,1223,276,2015-03-26 12:16:56.450603+00:00,9.48295687325731,491.8131494472651,30.859375,6,48.92409226491564,-125.3705979854962,30.859375,276,343183,-0.1287164688110351,BFSB,P,1427372222.55,2015-03-26 12:16:56.450603+00:00
119,119,1247,282,2015-04-19 18:00:46.554775+00:00,-25.10194466450464,468.9267181043,44.140625,6,48.71785825806288,-125.84113252658892,44.140625,282,278898,0.0886955261230468,BFSB,P,1429466457.22,2015-04-19 18:00:46.554775+00:00
120,120,1253,283,2015-04-19 21:13:19.086199+00:00,-6.136030917990023,521.8515905849068,12.109375,6,49.19423760053914,-125.58418572603937,12.109375,283,278903,-0.0737285614013671,BFSB,P,1429478008.65,2015-04-19 21:13:19.086199+00:00
121,121,1259,284,2015-04-20 04:24:38.883577+00:00,-26.217586649593738,498.9651592419417,12.890625,6,48.987920256510805,-125.85821551987128,12.890625,284,296182,0.00044846534729,BFSB,P,1429503888.93,2015-04-20 04:24:38.883577+00:00
123,123,1284,290,2015-04-27 15:33:52.421529+00:00,0.5578209925445475,468.9267181043,44.921875,6,48.71836298423166,-125.49241920708336,44.921875,290,322125,-0.1388344764709472,BFSB,P,1430148840.61,2015-04-27 15:33:52.421529+00:00
124,124,1290,292,2015-05-07 08:17:42.823929+00:00,-12.829882828524594,467.4963161453647,17.578125,6,48.705368528191286,-125.67431337836656,17.578125,292,334066,0.5292913913726807,BFSB,P,1430986671.41,2015-05-07 08:17:42.823929+00:00
125,125,1310,295,2015-05-12 03:38:08.558803+00:00,19.52373473905917,486.0915416115238,5.078125,6,48.87240800723849,-125.23385851985832,5.078125,295,330389,0.2156600952148437,BFSB,P,1431401891.73,2015-05-12 03:38:08.558803+00:00
134,134,1367,315,2015-06-24 23:53:47.135396+00:00,-2.789104962722738,521.8515905849068,12.890625,6,49.194261942589016,-125.53826625630506,12.890625,315,339091,-0.0227046012878417,BFSB,P,1435190036.42,2015-06-24 23:53:47.135396+00:00
136,136,1379,319,2015-06-29 08:06:07.129287+00:00,13.94552481361369,486.0915416115238,26.953125,6,48.8725584398561,-125.30989841752056,26.953125,319,326222,-0.0661430358886718,BFSB,P,1435565172.38,2015-06-29 08:06:07.129287+00:00
140,140,1412,327,2015-07-18 18:29:32.649015+00:00,-9.48295687325731,467.4963161453647,17.578125,6,48.70542835063671,-125.62884046432944,17.578125,327,293406,0.6449911594390869,BFSB,P,1437244180.96,2015-07-18 18:29:32.649015+00:00
141,141,1418,331,2015-07-22 12:03:33.096271+00:00,-0.5578209925445475,501.8259631598123,41.796875,6,49.01420049021816,-125.50762561106995,41.796875,331,307508,-0.0125763416290283,BFSB,P,1437566621.53,2015-07-22 12:03:33.096271+00:00
142,142,1436,336,2015-08-06 10:40:14.131171+00:00,-11.7142408434355,487.5219435704592,24.609375,6,48.885466994439184,-125.65972641364309,24.609375,336,322524,0.0071675777435302,BFSB,P,1438857621.98,2015-08-06 10:40:14.131171+00:00
148,148,1479,343,2015-08-11 06:49:51.295824+00:00,17.292450768880975,501.8259631598123,12.890625,6,49.0139586016982,-125.26360710941044,12.890625,343,313721,-0.1343810558319091,BFSB,P,1439275796.68,2015-08-11 06:49:51.295824+00:00
155,155,1557,361,2015-09-05 00:59:46.772567+00:00,-7.251672903079118,518.9907866670363,9.765625,6,49.16850187956557,-125.5994406466722,9.765625,361,335581,-0.1393525600433349,BFSB,P,1441414796.35,2015-09-05 00:59:46.772567+00:00
156,156,1575,365,2015-09-09 12:35:01.749825+00:00,-27.33322863468283,501.8259631598123,45.703125,6,49.01359577386273,-125.8736507830954,45.703125,365,295992,0.007960557937622,BFSB,P,1441802112.89,2015-09-09 12:35:01.749825+00:00
158,158,1587,369,2015-09-14 07:00:14.497886+00:00,-11.7142408434355,467.4963161453647,17.578125,6,48.70539046306919,-125.6591557572414,17.578125,369,290213,0.3360826969146728,BFSB,P,1442214022.76,2015-09-14 07:00:14.497886+00:00
166,166,1647,383,2015-10-06 23:03:04.382917+00:00,48.530426351375645,491.8131494472651,49.609375,6,48.92226378830393,-124.83778841836744,49.609375,383,286926,0.1352803707122802,BFSB,P,1444172592.94,2015-10-06 23:03:04.382917+00:00
167,167,1659,385,2015-10-07 07:18:17.076695+00:00,-25.10194466450464,498.9651592419417,8.203125,6,48.98796657587312,-125.84297259857162,8.203125,385,332199,-0.1489424705505371,BFSB,P,1444202307.4,2015-10-07 07:18:17.076695+00:00
168,168,1665,387,2015-10-12 17:05:13.804009+00:00,-11.7142408434355,487.5219435704592,29.296875,6,48.885466994439184,-125.65972641364309,29.296875,387,316078,0.0106370449066162,BFSB,P,1444669521.88,2015-10-12 17:05:13.804009+00:00
169,169,1671,390,2015-10-20 20:45:37.271241+00:00,-1.6734629776336427,490.38274748832976,27.734375,6,48.91130020998504,-125.52282981677632,27.734375,390,308237,-0.0007178783416748,BFSB,P,1445373944.22,2015-10-20 20:45:37.271241+00:00
172,172,1689,399,2015-11-05 07:35:14.730687+00:00,18.40809275397007,503.2563651187477,24.609375,6,49.0267883808404,-125.24829125252064,24.609375,399,328717,0.0243573188781738,BFSB,P,1446708920.78,2015-11-05 07:35:14.730687+00:00
181,181,1746,416,2015-12-04 06:36:30.270926+00:00,21.75501870923736,507.54757099555366,13.671875,6,49.06526525466806,-125.2022963667482,13.671875,416,323773,0.0618765354156494,BFSB,P,1449210996.45,2015-12-04 06:36:30.270926+00:00
182,182,1752,417,2015-12-04 14:06:40.784533+00:00,-6.136030917990023,484.6611396525885,25.390625,6,48.85982231736336,-125.58362345599691,25.390625,417,323798,-0.0118083953857421,BFSB,P,1449238007.96,2015-12-04 14:06:40.784533+00:00
183,183,1758,419,2015-12-08 08:24:06.002719+00:00,-10.598598858346405,501.8259631598123,18.359375,6,49.01410978171414,-125.64488636840451,18.359375,419,300153,0.155977725982666,BFSB,P,1449563054.26,2015-12-08 08:24:06.002719+00:00
184,184,1764,420,2015-12-09 04:55:58.410071+00:00,-11.7142408434355,514.6995807902302,12.890625,6,49.129847524882784,-125.66050999316629,12.890625,420,302352,0.0168681144714355,BFSB,P,1449636967.84,2015-12-09 04:55:58.410071+00:00
185,185,1770,421,2015-12-10 11:49:32.628968+00:00,-11.7142408434355,493.2435514062005,23.828125,6,48.9369163926551,-125.6598905005161,23.828125,421,285327,-0.0593771934509277,BFSB,P,1449748180.53,2015-12-10 11:49:32.628968+00:00
186,186,1776,422,2015-12-13 01:35:34.220311+00:00,-19.52373473905917,513.2691788312949,32.421875,6,49.11678739648107,-125.76744650209214,32.421875,422,296042,-0.2026576995849609,BFSB,P,1449970544.21,2015-12-13 01:35:34.220311+00:00
